n,p,b,c,b/c,pC,pD,pC > pD
8,0.8,15,3,5.0,1.226,1.296,0
8,0.8,18,3,6.0,1.268,1.2,1
8,0.8,21,3,7.0,1.337,1.24,1
8,0.8,24,3,8.0,1.344,1.188,1
8,0.8,27,3,9.0,1.323,1.107,1
10,0.2,5,1,5.0,1.004,1.031,0
10,0.2,6,1,6.0,0.956,1.008,0
10,0.2,7,1,7.0,0.969,0.913,1
10,0.2,8,1,8.0,1.012,1.017,0
10,0.2,9,1,9.0,1.019,0.99,1
10,0.2,10,2,5.0,1.013,0.984,1
10,0.2,12,2,6.0,1.062,0.971,1
10,0.2,14,2,7.0,1.043,0.963,1
10,0.2,16,2,8.0,1.022,0.951,1
10,0.2,18,2,9.0,0.972,0.935,1
10,0.2,15,3,5.0,0.925,0.952,0
10,0.2,18,3,6.0,0.94,0.97,0
10,0.2,21,3,7.0,0.968,0.971,0
10,0.2,24,3,8.0,1.024,0.929,1
10,0.2,27,3,9.0,1.063,0.929,1
10,0.4,5,1,5.0,0.999,1.016,0
10,0.4,6,1,6.0,0.972,0.955,1
10,0.4,7,1,7.0,0.996,0.946,1
10,0.4,8,1,8.0,1.003,0.987,1
10,0.4,9,1,9.0,1.037,0.986,1
10,0.4,10,2,5.0,0.919,1.015,0
10,0.4,12,2,6.0,1.014,1.022,0
10,0.4,14,2,7.0,1.006,0.97,1
10,0.4,16,2,8.0,1.083,0.932,1
10,0.4,18,2,9.0,1.029,0.899,1
10,0.4,15,3,5.0,0.976,0.98,0
10,0.4,18,3,6.0,0.984,0.945,1
10,0.4,21,3,7.0,1.059,0.962,1
10,0.4,24,3,8.0,1.006,0.947,1
10,0.4,27,3,9.0,1.008,0.968,1
10,0.6,5,1,5.0,1.024,0.971,1
10,0.6,6,1,6.0,0.993,0.988,1
10,0.6,7,1,7.0,0.956,0.944,1
10,0.6,8,1,8.0,1.037,0.959,1
10,0.6,9,1,9.0,1.042,0.949,1
10,0.6,10,2,5.0,0.983,0.938,1
10,0.6,12,2,6.0,1.003,0.959,1
10,0.6,14,2,7.0,0.983,0.957,1
10,0.6,16,2,8.0,1.063,0.963,1
10,0.6,18,2,9.0,1.104,0.937,1
10,0.6,15,3,5.0,0.958,0.983,0
10,0.6,18,3,6.0,0.966,0.983,0
10,0.6,21,3,7.0,0.97,0.912,1
10,0.6,24,3,8.0,1.042,0.925,1
10,0.6,27,3,9.0,1.066,0.921,1
10,0.8,5,1,5.0,1.005,1.012,0
10,0.8,6,1,6.0,1.003,0.994,1
10,0.8,7,1,7.0,0.991,0.984,1
10,0.8,8,1,8.0,1.029,1.003,1
10,0.8,9,1,9.0,0.961,0.936,1
10,0.8,10,2,5.0,0.979,0.964,1
10,0.8,12,2,6.0,0.988,1.018,0
10,0.8,14,2,7.0,1.039,0.973,1
10,0.8,16,2,8.0,0.984,0.955,1
10,0.8,18,2,9.0,1.059,0.914,1
10,0.8,15,3,5.0,0.93,0.973,0
10,0.8,18,3,6.0,1.034,1.013,1
10,0.8,21,3,7.0,0.98,0.97,1
10,0.8,24,3,8.0,1.033,0.885,1
10,0.8,27,3,9.0,1.026,0.932,1
12,0.2,5,1,5.0,0.775,0.795,0
12,0.2,6,1,6.0,0.866,0.797,1
12,0.2,7,1,7.0,0.792,0.739,1
12,0.2,8,1,8.0,0.799,0.824,0
12,0.2,9,1,9.0,0.752,0.772,0
12,0.2,10,2,5.0,0.77,0.8,0
