n,p,b,c,b/c,pC,pD,pC > pD
6,0.2,8,1,8.0,0.098,0.226,0
6,0.4,8,1,8.0,0.318,0.057,1
6,0.6,8,1,8.0,0.08,0.182,0
6,0.8,8,1,8.0,0.14,0.183,0
