n,p,b,c,b/c,pC,pD,pC > pD
10,0.9,8,1,8.0,0.17453,0.07457,1
10,0.9,9,1,9.0,0.10757,0.04295,1
12,0.1,6,1,6.0,0.03005,0.22389,0
12,0.1,7,1,7.0,0.07803,0.09623,0
12,0.1,8,1,8.0,0.05378,0.06701,0
12,0.1,9,1,9.0,0.08553,0.07819,1
12,0.2,6,1,6.0,0.07755,0.06909,1
12,0.2,7,1,7.0,0.07764,0.05295,1
12,0.2,8,1,8.0,0.18195,0.07074,1
12,0.2,9,1,9.0,0.05772,0.05355,1
12,0.3,6,1,6.0,0.06427,0.06336,1
12,0.3,7,1,7.0,0.17748,0.08671,1
12,0.3,8,1,8.0,0.06473,0.05594,1
12,0.3,9,1,9.0,0.03927,0.05087,0
12,0.4,6,1,6.0,0.05497,0.01569,1
12,0.4,7,1,7.0,0.17659,0.07639,1
12,0.4,8,1,8.0,0.03422,0.03964,0
12,0.4,9,1,9.0,0.04141,0.19554,0
12,0.5,6,1,6.0,0.10064,0.20915,0
12,0.5,7,1,7.0,0.18238,0.04623,1
12,0.5,8,1,8.0,0.04515,0.06707,0
12,0.5,9,1,9.0,0.04994,0.07506,0
12,0.6,6,1,6.0,0.07023,0.06909,1
12,0.6,7,1,7.0,0.04731,0.03756,1
12,0.6,8,1,8.0,0.06337,0.06272,1
12,0.6,9,1,9.0,0.23568,0.06159,1
12,0.7,6,1,6.0,0.05515,0.07896,0
12,0.7,7,1,7.0,0.06735,0.05822,1
12,0.7,8,1,8.0,0.06556,0.05994,1
12,0.7,9,1,9.0,0.25579,0.04615,1
12,0.8,6,1,6.0,0.03425,0.1615,0
12,0.8,7,1,7.0,0.04891,0.21032,0
12,0.8,8,1,8.0,0.06385,0.05976,1
12,0.8,9,1,9.0,0.06253,0.05829,1
12,0.9,6,1,6.0,0.27844,0.06318,1
12,0.9,7,1,7.0,0.07798,0.20764,0
12,0.9,8,1,8.0,0.05684,0.0792,0
12,0.9,9,1,9.0,0.04147,0.06596,0
