n,p,b,c,b/c,coop_outcomes_per_1000_runs
4,0.25,4,1,4.0,240
4,0.25,5,1,5.0,259
4,0.25,6,1,6.0,252
4,0.25,7,1,7.0,252
4,0.25,8,1,8.0,255
4,0.25,9,1,9.0,245
4,0.25,10,1,10.0,243
4,0.25,8,2,4.0,245
4,0.25,10,2,5.0,259
4,0.25,12,2,6.0,253
4,0.25,14,2,7.0,269
4,0.25,16,2,8.0,266
4,0.25,18,2,9.0,264
4,0.25,20,2,10.0,242
4,0.25,12,3,4.0,253
4,0.25,15,3,5.0,267
4,0.25,18,3,6.0,231
4,0.25,21,3,7.0,238
4,0.25,24,3,8.0,244
4,0.25,27,3,9.0,264
4,0.25,30,3,10.0,234
4,0.5,4,1,4.0,241
4,0.5,5,1,5.0,250
4,0.5,6,1,6.0,251
4,0.5,7,1,7.0,252
4,0.5,8,1,8.0,246
4,0.5,9,1,9.0,261
4,0.5,10,1,10.0,268
4,0.5,8,2,4.0,229
4,0.5,10,2,5.0,257
4,0.5,12,2,6.0,244
4,0.5,14,2,7.0,271
4,0.5,16,2,8.0,266
4,0.5,18,2,9.0,245
4,0.5,20,2,10.0,232
4,0.5,12,3,4.0,267
4,0.5,15,3,5.0,244
4,0.5,18,3,6.0,264
4,0.5,21,3,7.0,254
4,0.5,24,3,8.0,279
4,0.5,27,3,9.0,235
4,0.5,30,3,10.0,265
4,0.75,4,1,4.0,261
4,0.75,5,1,5.0,283
4,0.75,6,1,6.0,258
4,0.75,7,1,7.0,242
4,0.75,8,1,8.0,241
4,0.75,9,1,9.0,270
4,0.75,10,1,10.0,245
4,0.75,8,2,4.0,239
4,0.75,10,2,5.0,257
4,0.75,12,2,6.0,271
4,0.75,14,2,7.0,232
4,0.75,16,2,8.0,246
4,0.75,18,2,9.0,227
4,0.75,20,2,10.0,252
4,0.75,12,3,4.0,259
4,0.75,15,3,5.0,271
4,0.75,18,3,6.0,239
4,0.75,21,3,7.0,242
4,0.75,24,3,8.0,225
4,0.75,27,3,9.0,248
4,0.75,30,3,10.0,233
6,0.25,4,1,4.0,160
6,0.25,5,1,5.0,175
6,0.25,6,1,6.0,173
6,0.25,7,1,7.0,191
6,0.25,8,1,8.0,145
6,0.25,9,1,9.0,159
6,0.25,10,1,10.0,175
6,0.25,8,2,4.0,170
6,0.25,10,2,5.0,147
6,0.25,12,2,6.0,194
6,0.25,14,2,7.0,180
6,0.25,16,2,8.0,157
6,0.25,18,2,9.0,174
6,0.25,20,2,10.0,159
6,0.25,12,3,4.0,185
6,0.25,15,3,5.0,175
6,0.25,18,3,6.0,162
6,0.25,21,3,7.0,170
6,0.25,24,3,8.0,158
6,0.25,27,3,9.0,173
6,0.25,30,3,10.0,161
6,0.5,4,1,4.0,182
6,0.5,5,1,5.0,185
6,0.5,6,1,6.0,161
6,0.5,7,1,7.0,155
6,0.5,8,1,8.0,174
6,0.5,9,1,9.0,194
6,0.5,10,1,10.0,164
6,0.5,8,2,4.0,166
6,0.5,10,2,5.0,160
6,0.5,12,2,6.0,166
6,0.5,14,2,7.0,166
6,0.5,16,2,8.0,174
6,0.5,18,2,9.0,166
6,0.5,20,2,10.0,180
6,0.5,12,3,4.0,164
6,0.5,15,3,5.0,165
6,0.5,18,3,6.0,187
6,0.5,21,3,7.0,187
6,0.5,24,3,8.0,194
6,0.5,27,3,9.0,173
6,0.5,30,3,10.0,176
6,0.75,4,1,4.0,148
6,0.75,5,1,5.0,161
6,0.75,6,1,6.0,170
6,0.75,7,1,7.0,174
6,0.75,8,1,8.0,174
6,0.75,9,1,9.0,152
6,0.75,10,1,10.0,176
6,0.75,8,2,4.0,150
6,0.75,10,2,5.0,169
6,0.75,12,2,6.0,165
6,0.75,14,2,7.0,171
6,0.75,16,2,8.0,172
6,0.75,18,2,9.0,161
6,0.75,20,2,10.0,177
6,0.75,12,3,4.0,167
6,0.75,15,3,5.0,165
6,0.75,18,3,6.0,155
6,0.75,21,3,7.0,169
6,0.75,24,3,8.0,174
